"","Feature_1_vertexD","Feature_2_vertexD","Feature_edgeD","pcor_coefficient","pcor_pvalue","cor_coefficient","cor_pvalue","cdgo_pvalue","cdgo2_pvalue","pcor_LF1_edge__LF2","pcor_pvalue_LF1_edge__LF2","pcor_LF2_edge__LF1","pcor_pvalue_LF2_edge__LF1","cdgo_adjusted","cdgo2_adjusted"
"1","PC.aa.C40.2","PC.aa.C42.0","Trappc13",0.170401680975035,0.661150999588019,0.8759877506476,0.000888581725831283,2.22044604925031e-16,1.3500993656379e-09,0.748102931407407,0.0204353946167015,0.461533156868537,0.21108904838079,3.17772608227073e-09,0.0192797672669455
"2","PC.aa.C40.2","PC.aa.C42.2","Trappc13",-0.0441550611830177,0.910194066952257,0.839404299800582,0.00238597860071321,0,2.02651229130879e-11,0.802203091540118,0.00928318445046507,0.56885225249744,0.109949885136171,0,0.000289421763671083
"3","PC.aa.C40.2","PC.aa.C42.5","Trappc13",-0.294747870608362,0.441333947626378,0.762433988574432,0.0103425026735255,0,2.63932431465719e-10,0.877440143595576,0.0018786229694606,0.651966084033709,0.0570635593189259,0,0.00376919556377553
"4","PC.aa.C42.2","PC.aa.C42.5","Trappc13",-0.544575222601242,0.129515120409135,0.642322401191508,0.0452176593622884,3.10862446895044e-15,9.71822622375385e-12,0.871928296498009,0.00217906768804935,0.827228128592982,0.00593467221273318,4.4486903050256e-08,0.000138795415380866
"5","PC.aa.C40.2","PC.ae.C40.2","Trappc13",-0.482219454854251,0.188638689398834,0.779870665024321,0.00780026995573002,0,0,0.890691723874648,0.00127568431261288,0.78698263255969,0.011842635082847,0,0
"6","PC.aa.C40.2","PC.ae.C42.4","Trappc13",0.175173008542179,0.652140300023218,0.914828220837243,0.000207523524162312,0,0,0.610674029700488,0.0806749538495709,0.632246377270531,0.0677021756084431,0,0
"7","PC.aa.C42.5","PC.ae.C42.4","Trappc13",-0.267068930747504,0.487240995330671,0.770056868481773,0.00916876169900149,4.48216797011014e-10,0,0.631257231684894,0.0682661732491738,0.877245270541936,0.00188872420190608,0.00641305052250662,0
"8","PC.aa.C40.2","PC.ae.C44.3","Trappc13",0.352770560128174,0.351759701961865,0.919702148488927,0.000164937490767514,2.46469511466785e-14,4.37241354234175e-11,0.633028034946799,0.0672585578350762,0.448157747050037,0.226353247123014,3.52708814155278e-07,0.000624448295083902
"9","PC.aa.C42.5","PC.ae.C44.3","Trappc13",-0.750053716113424,0.019928275173034,0.651012202386082,0.0414735080046946,0,0,0.89435049889897,0.0011365803326437,0.945085760284448,0.000121064545359731,0,0
"10","PC.aa.C42.5","PC.ae.C44.4","Trappc13",-0.463483419789038,0.208912348999561,0.669479635665338,0.0342207505166554,9.05400199258111e-11,9.54791801177635e-15,0.790487160081164,0.0112158689449672,0.855188264692367,0.00329282006700446,0.00129549033592813,1.36376369308522e-07
"11","PC.ae.C40.2","PC.ae.C44.4","Trappc13",-0.115292959483867,0.767713273914616,0.786346018601571,0.00698079406896457,7.69875274642118e-11,3.95610211256781e-11,0.70540300090332,0.0337627787107726,0.715469358519331,0.0302222471905046,0.00110157865429761,0.000564993888088062
"12","PC.aa.C40.2","PC.ae.C44.5","Trappc13",-0.384146278908152,0.307383187552621,0.821027005319938,0.00359478623776477,0,0,0.850908600249721,0.00363021223978638,0.773008144931031,0.0145757492848297,0,0
"13","PC.ae.C42.4","PC.ae.C44.5","Trappc13",0.13334877499645,0.732337427421027,0.888787945730349,0.000584004668391369,0,2.23598917159507e-13,0.726460714200314,0.0266436798695392,0.529610920558947,0.14253411180146,0,3.19362822875924e-06
"14","PC.ae.C44.3","PC.ae.C44.5","Trappc13",-0.0655683353738935,0.866902913090795,0.843041198216345,0.00218718348329849,0,2.22044604925031e-15,0.718138190750751,0.0293261098954574,0.685834461476863,0.0413936739950189,0,3.17159232210428e-08
"15","PC.ae.C44.5","PC.ae.C44.6","Trappc13",-0.470237839000837,0.201470321580256,0.706218613916119,0.0224476786597054,0,1.27142740780073e-12,0.872297291833065,0.00215798387333617,0.78455034110186,0.0122912061789913,0,1.81591238090917e-05
"16","PC.aa.C24.0","PC.ae.C30.2","Oat",0.619308837264501,0.075312133450896,0.838947206239993,0.00241185346594586,0,0,-0.336322457625314,0.376189711156574,-0.354861765288474,0.348710291055311,0,0
"17","SM..OH..C16.1","SM..OH..C22.1","Hsp90b1",0.104111811801958,0.789811620342337,0.856851522593782,0.00153993617337012,5.93503024504116e-11,4.090283667324e-12,0.610336098088155,0.0808894990041604,0.662471272762857,0.0518582217507973,0.000849220983998311,5.84182289420365e-05
"18","SM..OH..C16.1","SM.C24.1","Hsp90b1",-0.552769294026795,0.122697053561324,0.660245387975045,0.0377298018625201,0,4.66071625737641e-12,0.890174617172601,0.00129625328294476,0.816210479280459,0.00728444466387909,0,6.65651092845998e-05
"19","PC.ae.C36.4","SM..OH..C24.1","Yeats4",-0.199071289098981,0.607610496130303,0.746313650458083,0.0131660356551473,7.02796709717291e-10,1.46683998281105e-10,0.724299893335879,0.0273239669773967,0.747091499731227,0.0207016546329093,0.01005542416193,0.00209481427516022
"20","PC.aa.C30.2","PC.aa.C42.2","Trmt61a",0.894786276054985,0.00112074969720558,0.933671551097153,7.81238602090006e-05,6.17354611875953e-10,2.21200835426316e-11,0.142231756558641,0.71508819214699,0.141384589417838,0.716728566404843,0.00883297396870652,0.000315913414654645
"21","C6.1","PC.ae.C34.2","Txnrd1",-0.462338391182514,0.210188808205451,0.65110697551199,0.0414338642008465,1.83697501654478e-12,2.35119479441437e-10,0.84045291399045,0.00455289225451156,0.80127366509555,0.00942758606456268,2.62863887185993e-05,0.00335773235136294
"22","C6.1","PC.ae.C36.2","Txnrd1",-0.0880145565381241,0.821851663580399,0.798946745898681,0.00556425193609256,7.5076567185306e-10,2.20046203480706e-13,0.640136943103068,0.0633076181028585,0.76031873860332,0.0173969159574955,0.010741727750875,3.1428866973382e-06
"23","C6.1","PC.ae.C38.2","Znrf1",-0.570948796845328,0.108349822315235,0.648063032007379,0.0427199209759956,3.85464993257756e-11,0,0.809264060080201,0.00823465300672067,0.905320756903361,0.000782996167878945,0.000551553185890175,0
"24","PC.ae.C36.2","PC.ae.C38.2","Sec63",-0.243048318682407,0.528596684486308,0.778399067240587,0.00799559070729461,6.21724893790088e-14,1.08801856413265e-14,0.749885401873219,0.0199716971338946,0.765762096337901,0.0161459118031783,8.89706788242962e-07,1.55405358137628e-07
"25","PC.ae.C36.4","SM.C20.2","Zc3h15",-0.181875972064248,0.63954738555055,0.745271792843703,0.0133652403070226,2.89462009916974e-10,3.31615712667599e-09,0.747973385295005,0.0204693703393321,0.709321203962819,0.0323542583598311,0.00414164530539085,0.047354169970693
"26","PC.ae.C38.6","SM.C20.2","Zc3h15",-0.0879837683399701,0.821913177566441,0.800852926991104,0.00536944417689478,4.44089209850063e-15,2.13679207661244e-09,0.789402891420653,0.0114073385273764,0.606579868051614,0.0832980401268262,6.35524255443443e-08,0.0305134998304216
"27","PC.ae.C36.3","SM.C20.2","Rfx1",0.131991812269707,0.734981766779293,0.861230611866445,0.00136752787509487,2.66888733335691e-11,6.45914433050621e-11,0.635265296855511,0.0659989283314246,0.616547717616627,0.0770020944584183,0.00038188804599848,0.00092245772402011
"28","PC.aa.C32.0","PC.ae.C40.6","Creg1",-0.273676606599516,0.476106870059171,0.747870646508281,0.0128722217406709,1.52603951697472e-09,0,0.668588436824209,0.0489717779880116,0.848939798481939,0.00379310515485874,0.0218335997956625,0
"29","C6.1","SM..OH..C24.1","Hnrnpa2b1",-0.357750421365484,0.344519285573305,0.749806182152321,0.0125134140529519,8.02535815580541e-12,0,0.716009020082878,0.030039617089901,0.865646143475769,0.0025602199362622,0.000114836888292391,0
"30","PC.ae.C34.2","SM..OH..C24.1","Hnrnpa2b1",-0.327924860660994,0.388962393936843,0.738416027160546,0.0147289535570363,6.074425407121e-10,0,0.685702012047153,0.0414487801451903,0.867771556859218,0.00242650451419882,0.00869115970213264,0
"31","PC.ae.C36.2","SM..OH..C24.1","Hnrnpa2b1",-0.233408305948588,0.545565998941404,0.793286683412756,0.00617235063641641,1.05959685470225e-12,0,0.68209411975102,0.0429680840841504,0.824028050578296,0.00630743155881144,1.51625470188321e-05,0
"32","PC.ae.C36.3","SM..OH..C24.1","Hnrnpa2b1",-0.0461017088612818,0.906248552102562,0.83238618202468,0.00280595299506614,1.81290538137091e-11,0,0.609022789232591,0.0817266411782073,0.768858320202341,0.0154618510138334,0.000259408776052794,0
"33","PC.ae.C36.4","SM..OH..C24.1","Hnrnpa2b1",-0.363912431715007,0.335662019159514,0.746313650458083,0.0131660356551473,1.14901421710556e-11,0,0.716805084656317,0.02977153491033,0.868079969710352,0.00240751091994717,0.000164414156356818,0
"34","PC.ae.C38.6","SM..OH..C24.1","Hnrnpa2b1",-0.502280185297028,0.168216422555188,0.721484669203037,0.0185073617265026,8.94839757847876e-14,0,0.782316232610381,0.0127131554094987,0.896522037331028,0.00105921484849365,1.2805371696345e-06,0
"35","C14","C14.2","Ikbkb",0.277718465031086,0.469349476822106,0.901258101535039,0.000368614578627469,1.2516654379624e-12,3.65174557259707e-11,0.612528729563119,0.0795037232561138,0.531655821230755,0.14071163974549,1.79109669309341e-05,0.0005215275496262
"36","C14","C16.2","Ikbkb",0.389431562683181,0.300202799780788,0.941699455205939,4.7092972493612e-05,1.30340183090993e-13,0,0.217946260205872,0.573205059444286,0.791333904223478,0.0110678565395272,1.8651896565025e-06,0
"37","C14.2","C16.2","Ikbkb",0.45692467742617,0.216282181936316,0.939801617324286,5.34064825279401e-05,7.47333084305524e-10,0,0.106112039132536,0.785848415043862,0.813657795791691,0.00762446405826434,0.0106926168229851,0
"38","C14.2.OH","C16.2","Ikbkb",0.805174670175389,0.00883154305826014,0.988081446649932,8.70256418039617e-08,1.71613834254458e-11,1.02140518265514e-14,0.0825838033675131,0.832714891588476,0.509589742604383,0.161105970229788,0.000245562630146523,1.45890866942721e-07
"39","C14.1","C3","Ikbkb",-0.494448387644248,0.176031011676634,-0.934186123041828,7.5775539517764e-05,4.66071625737641e-13,0,0.697763257567369,0.0366224760403542,-0.225680628338851,0.559316036685308,6.66944301785933e-06,0
"40","C14","H1","Ikbkb",0.387880919536828,0.302300495196071,0.918361412552643,0.000175940402634023,6.07118799678119e-11,4.26132018560566e-10,0.557259777401656,0.119053503230534,0.493839886512189,0.176646669918364,0.000868702552114353,0.00608547885821054
"41","C14.1","H1","Ikbkb",-0.174202242908439,0.653970490501408,0.867559104223112,0.00114371938311741,0,0,0.81306027231712,0.0077055811686852,0.673461704895504,0.0467473388951815,0,0
"42","C14.1.OH","H1","Ikbkb",0.0669078434770672,0.864203923846269,0.865442346037801,0.00121536045866577,8.79296635503124e-14,1.17683640610267e-14,0.639627285636887,0.0635858787795867,0.668708312337824,0.0489162648952836,1.25829494024288e-06,1.68091392138692e-07
"43","C14.2","H1","Ikbkb",-0.610275469387954,0.0809280281287565,0.770299901811225,0.00913296543597175,0,0,0.880224684595694,0.00173834216482115,0.885934852436228,0.00147367266728157,0,0
"44","C14.2.OH","H1","Ikbkb",-0.19963844249761,0.606566497235859,0.876835044032144,0.000865466111144908,0,0,0.849743668929212,0.00372600200231241,0.64887129255168,0.0586576724777823,0,0
"45","C16.1","H1","Ikbkb",-0.0106877531610688,0.978229160507716,0.820779458346128,0.00361356771199217,2.23891727380021e-09,8.12683254025615e-14,0.587572587662015,0.0961614186464277,0.756898040832801,0.018215156012923,0.0320325722911134,1.16075784850622e-06
"46","C16.2","H1","Ikbkb",-0.072012928863907,0.853928974291867,0.898254702576103,0.000413999028215262,0,0,0.862025426895547,0.00279957232308245,0.531070290426824,0.141232074842355,0,0
