"from","to","weightreal","Genes","PcorValues","CorValues","PcorAverage","CorAverage","PcorLink1edge","PcorLink1edge_pvalue","PcorLink2edge","PcorLink2edge_pvalue","type","weight","Vertex1_Class","Vertex2_Class"
"C10","C2",3,"Lrwd1;Slc7a5;Eif3m","-0.205857048298898;-0.424037411134615;-0.151912444421572","0.819739824999567;0.819739824999567;0.819739824999567",-0.260602301285028,0.819739824999567,"0.590076387612844;0.77852069855085;0.654144037649756","0.163122911415181;0.0391933204146567;0.110940740621801","0.880514049216114;0.870232233232107;0.800413908895025","0.00887901423235499;0.0108515443689995;0.0305978727739551","hyperlink",0.6,"ACC","ACC"
"C10","C4",2,"Csde1;Taf9","-0.613376665734959;-0.415167815118607","0.725902015029621;0.725902015029621",-0.514272240426783,0.725902015029621,"0.886177907682038;0.816701127897104","0.00788880673426252;0.0249642377994418","0.875536787763972;0.809490459534484","0.0098054373877636;0.0273790982359333","hyperlink",0.4,"ACC","ACC"
"C10","lysoPC.a.C18.0",1,"L3hypdh","-0.917299467199548","-0.789897090109037",-0.917299467199548,-0.789897090109037,"0.778415317124271","0.0392375626126355","0.778996029654993","0.0389941059674654","hyperlink",0.2,"ACC","LPC"
"C10.1","Putrescine",4,"Ppa1;Use1;Brd8;Eif3k","-0.179199920340487;-0.0162754399875741;-0.0964983452861484;0.0157227319824884","0.854934726276984;0.854934726276984;0.854934726276984;0.854934726276984",-0.0690627434079303,0.854934726276984,"0.537365123978777;0.761641883304455;0.784850628819183;0.587779294639748","0.213533278648626;0.0466330899004891;0.0365864407401394;0.165181457437394","0.904811637461493;0.602110890932112;0.641036455808895;0.750679722405317","0.00509800055714609;0.152547917120352;0.120785671476759;0.0518480601403616","hyperlink",0.8,"ACC","BA"
"C10.2","PC.aa.C36.4",1,"Myc","-0.383405285195811","0.758275219403901",-0.383405285195811,0.758275219403901,"0.714940688628546","0.0709629575892879","0.883561545605561","0.00833781825022929","hyperlink",0.2,"ACC","PC"
"C10.2","PC.aa.C38.4",2,"Myc;Stk38l","-0.401927390132167;-0.619556777079934","0.77759208842634;0.77759208842634",-0.51074208360605,0.77759208842634,"0.695281853468969;0.779492814982251","0.0828622879352546;0.0387865005979843","0.910488062249117;0.963070319637675","0.00438536965890249;0.000493453411989851","hyperlink",0.4,"ACC","PC"
"C10.2","PC.aa.C38.5",1,"Stk38l","-0.535915226530161","0.726224140191686",-0.535915226530161,0.726224140191686,"0.78756521695313","0.0354989166728024","0.912686300432218","0.00412607492239891","hyperlink",0.2,"ACC","PC"
"C10.2","PC.aa.C40.5",1,"Stk38l","-0.474478061879703","0.722725127947535",-0.474478061879703,0.722725127947535,"0.769135680584232","0.0432420136795051","0.890327728492247","0.00720594084771914","hyperlink",0.2,"ACC","PC"
"C10.2","PC.aa.C40.6",2,"Myc;Stk38l","-0.389484856510045;-0.429340782609719","0.771228655425447;0.771228655425447",-0.409412819559882,0.771228655425447,"0.700044480620987;0.702269485409137","0.0798891901509932;0.0785200085818935","0.899729952974116;0.919212187281696","0.00578955613880711;0.00341003494507609","hyperlink",0.4,"ACC","PC"
"C12","C12.1",2,"Ercc3;Sdf4","-0.267650718471373;-0.260897172280037","0.819602325388288;0.819602325388288",-0.264273945375705,0.819602325388288,"0.781547302198805;0.743308136724986","0.0379344503923097;0.0555254953567118","0.764325288927197;0.79674477324659","0.0454026069906981;0.03195607543433","hyperlink",0.4,"ACC","ACC"
"C12","C14.1",1,"Ercc3","-0.182535539216274","0.8901905917235",-0.182535539216274,0.8901905917235,"0.599259400463295","0.155021648566678","0.876686573341183","0.00958671159644642","hyperlink",0.2,"ACC","ACC"
"C12","C14.2",3,"Inhbe;Ercc3;Mcm2","-0.104027103042971;-0.115456362304487;-0.0424545716675194","0.83103156199383;0.83103156199383;0.83103156199383",-0.0873126790049925,0.83103156199383,"0.745908511538356;0.74910037167799;0.669576158244462","0.054212563987371;0.0526243789901803;0.0999048924440331","0.682100014529462;0.687681458695628;0.711329543389398","0.0913920322430467;0.0877264375892343;0.0730749743956003","hyperlink",0.6,"ACC","ACC"
"C12","C14.2.OH",1,"Eif3m","0.195530754085238","0.905829347333684",0.195530754085238,0.905829347333684,"0.813482223142265","0.0260267677131988","0.363060241235949","0.423454917639816","hyperlink",0.2,"ACC","ACC"
"C12","C16.1",2,"Inhbe;Ercc3","0.112677305603489;0.0260875013963947","0.872076751904305;0.872076751904305",0.0693824034999418,0.872076751904305,"0.654196881726521;0.65252101983153","0.110901924808313;0.112136329960625","0.619338410452296;0.691550766976411","0.138027519503759;0.0852317689983659","hyperlink",0.4,"ACC","ACC"
"C12","C16.1.OH",2,"Inhbe;Ercc3","-0.03614489107791;-0.0780037377208326","0.848246100375746;0.848246100375746",-0.0570743143993713,0.848246100375746,"0.711301549278653;0.715797369977739","0.0730914767447016;0.0704667907343523","0.671746433735461;0.699968266888299","0.0984011951720824;0.0799363123938955","hyperlink",0.4,"ACC","ACC"
"C12","C16.2",1,"Ercc3","-0.137534018739352","0.877288012533933",-0.137534018739352,0.877288012533933,"0.643391431768181","0.118985081202076","0.816467508232667","0.0250405152727044","hyperlink",0.2,"ACC","ACC"
"C12","C16.2.OH",1,"Ercc3","-0.120799836819265","0.827933305645325",-0.120799836819265,0.827933305645325,"0.754238176018476","0.0501220105333596","0.685156905292685","0.0893746222917829","hyperlink",0.2,"ACC","ACC"
"C12","C16.OH",2,"Inhbe;Ercc3","0.00467825833183391;0.100260920687731","0.877628632138428;0.877628632138428",0.0524695895097825,0.877628632138428,"0.629393078948562;0.63805925922112","0.129891970179196;0.123081892458688","0.731450328158025;0.648795099208467","0.0617297845933039;0.114906101024283","hyperlink",0.4,"ACC","ACC"
"C12","C18.2",1,"Ercc3","-0.179859351902052","0.808689982452482",-0.179859351902052,0.808689982452482,"0.78433218173272","0.0367962168623743","0.691407965761308","0.0853231607784707","hyperlink",0.2,"ACC","ACC"
"C12","C2",2,"Slc7a5;Eif3m","-0.412136538479036;-0.20804315864485","0.889500521260376;0.889500521260376",-0.310089848561943,0.889500521260376,"0.871605817964059;0.843073222976624","0.0105747985567637;0.0171859737698339","0.783630067125335;0.668672798326604","0.0370813711061341;0.100534311235962","hyperlink",0.4,"ACC","ACC"
"C12.1","C14",4,"Ercc3;Sdf4;Hist1h4d;Bsdc1","0.0833601364031775;0.154047839943979;-0.010147191684946;0.237239545697427","0.899342596591369;0.899342596591369;0.899342596591369;0.899342596591369",0.116125082589909,0.899342596591369,"0.486141414356946;0.585783123562479;0.820478480847746;0.638422740769182","0.26866173007734;0.166980709977653;0.0237490776790839;0.122800361004635","0.799528638746508;0.665624714853264;0.539841154946681;0.540574614606084","0.0309225573679644;0.102673318878696;0.211019039848257;0.210276984403258","hyperlink",0.8,"ACC","ACC"
"C12.1","C14.1",2,"Hist1h4d;D10Wsu102e","0.421366513953925;0.485461493973345","0.948963934075829;0.948963934075829",0.453414003963635,0.948963934075829,"0.6952097892994;0.515895162098257","0.08290771783403;0.235923605868831","0.322612122646964;0.458979202722318","0.48036706321614;0.30022239125869","hyperlink",0.4,"ACC","ACC"
"C12.1","C14.1.OH",3,"Epc2;Wwtr1;Zfp330","-0.365767201849941;-0.356151177973321;-0.510330585837903","0.767224382218151;0.767224382218151;0.767224382218151",-0.410749655220388,0.767224382218151,"0.829627762977481;0.783608492995586;0.804268286957209","0.0209467136640683;0.0370901524952353;0.0292065271070419","0.770195062651317;0.810655268002579;0.891425759856642","0.0427739799837204;0.026980506596119;0.00703122379006683","hyperlink",0.6,"ACC","ACC"
